To,From,Reason for Dishing,Date,Room
eduardovegap#0422,Zeptimus#3359,and anyone involve in the onboarding joruney! 🙏,Nov-24-2021,🎫｜general
Vyvy-vi#5040,Zeptimus#3359,and anyone involve in the onboarding joruney! 🙏,Nov-24-2021,🎫｜general
eduardovegap#0422,John V#2787,I can’t wait to get started 🙂,Dec-02-2021,🎫｜general
JL#3980,"griff (💜, 💜)#8888",rodri for making this Swag Shop Happen!,Dec-23-2021,🎫｜general
kristofer#1475,"griff (💜, 💜)#8888",rodri for making this Swag Shop Happen!,Dec-23-2021,🎫｜general
markop#2007,"griff (💜, 💜)#8888",rodri for making this Swag Shop Happen!,Dec-23-2021,🎫｜general
catarina#7223,"griff (💜, 💜)#8888",rodri for making this Swag Shop Happen!,Dec-23-2021,🎫｜general
ZER8🧠#9093,iviangita#3204,for writing his first tweet for TEC Twitter 😊,Oct-28-2021,🙏｜praise
Zeptimus#3359,karmaticacid#1218,for the awesome param party hang out! love discussing the params with you!!,Oct-28-2021,🙏｜praise
divine_comedian#5493,Zeptimus#3359,and  for being great param party host had so much fun!,Oct-28-2021,🙏｜praise
karmaticacid#1218,Zeptimus#3359,and  for being great param party host had so much fun!,Oct-28-2021,🙏｜praise
karmaticacid#1218,iviangita#3204,for recording the CS AMA about TEC's Collaborative Economics 🙏🏼,Oct-28-2021,🙏｜praise
natesuits#4789,Tam2140#9361,to   and  for getting the TEC live on Boardroom!,Oct-28-2021,🙏｜praise
mateodaza#3156,Tam2140#9361,to   and  for getting the TEC live on Boardroom!,Oct-28-2021,🙏｜praise
Vyvy-vi#5040,Tam2140#9361,to   and  for getting the TEC live on Boardroom!,Oct-28-2021,🙏｜praise
liviade#1387,iviangita#3204,for taking on the governance of Param Parties and how we’re gonna make the decisions,Oct-29-2021,🙏｜praise
Zeptimus#3359,iviangita#3204,"for the awesome work they’re doing, taking on all the Param Parties hosting and getting these slots on the board",Oct-29-2021,🙏｜praise
divine_comedian#5493,iviangita#3204,"for the awesome work they’re doing, taking on all the Param Parties hosting and getting these slots on the board",Oct-29-2021,🙏｜praise
Nuggan#5183,iviangita#3204,"for the awesome work they’re doing, taking on all the Param Parties hosting and getting these slots on the board",Oct-29-2021,🙏｜praise
chuygarcia.eth#6692,iviangita#3204,"for the awesome work they’re doing, taking on all the Param Parties hosting and getting these slots on the board",Oct-29-2021,🙏｜praise
karmaticacid#1218,iviangita#3204,"for the awesome work they’re doing, taking on all the Param Parties hosting and getting these slots on the board",Oct-29-2021,🙏｜praise
pKrepe#5682,iviangita#3204,for all the work that’s happening in params and they’ve done such an incredible job - the Param Parties is one of the coolest things we’ve done yet!,Oct-29-2021,🙏｜praise
Zeptimus#3359,iviangita#3204,for all the work that’s happening in params and they’ve done such an incredible job - the Param Parties is one of the coolest things we’ve done yet!,Oct-29-2021,🙏｜praise
natesuits#4789,iviangita#3204,for all the work that’s happening in params and they’ve done such an incredible job - the Param Parties is one of the coolest things we’ve done yet!,Oct-29-2021,🙏｜praise
divine_comedian#5493,iviangita#3204,for all the work that’s happening in params and they’ve done such an incredible job - the Param Parties is one of the coolest things we’ve done yet!,Oct-29-2021,🙏｜praise
ygg_anderson#4998,iviangita#3204,for all the work that’s happening in params and they’ve done such an incredible job - the Param Parties is one of the coolest things we’ve done yet!,Oct-29-2021,🙏｜praise
sem  🐝#0161,iviangita#3204,for all the work that’s happening in params and they’ve done such an incredible job - the Param Parties is one of the coolest things we’ve done yet!,Oct-29-2021,🙏｜praise
Mount Manu#3530,iviangita#3204,for all the work that’s happening in params and they’ve done such an incredible job - the Param Parties is one of the coolest things we’ve done yet!,Oct-29-2021,🙏｜praise
markop#2007,iviangita#3204,for all the work that’s happening in params and they’ve done such an incredible job - the Param Parties is one of the coolest things we’ve done yet!,Oct-29-2021,🙏｜praise
Nuggan#5183,iviangita#3204,for all the work that’s happening in params and they’ve done such an incredible job - the Param Parties is one of the coolest things we’ve done yet!,Oct-29-2021,🙏｜praise
Vitor Marthendal#0090,iviangita#3204,for all the work that’s happening in params and they’ve done such an incredible job - the Param Parties is one of the coolest things we’ve done yet!,Oct-29-2021,🙏｜praise
karmaticacid#1218,iviangita#3204,for all the work that’s happening in params and they’ve done such an incredible job - the Param Parties is one of the coolest things we’ve done yet!,Oct-29-2021,🙏｜praise
fabiomendes#4802,iviangita#3204,for all the work that’s happening in params and they’ve done such an incredible job - the Param Parties is one of the coolest things we’ve done yet!,Oct-29-2021,🙏｜praise
pKrepe#5682,iviangita#3204,for all the work that is happening in params and they have done such an incredible job (the Param Parties is one of the coolest things we’ve done yet!),Oct-29-2021,🙏｜praise
Zeptimus#3359,iviangita#3204,for all the work that is happening in params and they have done such an incredible job (the Param Parties is one of the coolest things we’ve done yet!),Oct-29-2021,🙏｜praise
natesuits#4789,iviangita#3204,for all the work that is happening in params and they have done such an incredible job (the Param Parties is one of the coolest things we’ve done yet!),Oct-29-2021,🙏｜praise
divine_comedian#5493,iviangita#3204,for all the work that is happening in params and they have done such an incredible job (the Param Parties is one of the coolest things we’ve done yet!),Oct-29-2021,🙏｜praise
ygg_anderson#4998,iviangita#3204,for all the work that is happening in params and they have done such an incredible job (the Param Parties is one of the coolest things we’ve done yet!),Oct-29-2021,🙏｜praise
sem  🐝#0161,iviangita#3204,for all the work that is happening in params and they have done such an incredible job (the Param Parties is one of the coolest things we’ve done yet!),Oct-29-2021,🙏｜praise
Mount Manu#3530,iviangita#3204,for all the work that is happening in params and they have done such an incredible job (the Param Parties is one of the coolest things we’ve done yet!),Oct-29-2021,🙏｜praise
markop#2007,iviangita#3204,for all the work that is happening in params and they have done such an incredible job (the Param Parties is one of the coolest things we’ve done yet!),Oct-29-2021,🙏｜praise
Nuggan#5183,iviangita#3204,for all the work that is happening in params and they have done such an incredible job (the Param Parties is one of the coolest things we’ve done yet!),Oct-29-2021,🙏｜praise
Vitor Marthendal#0090,iviangita#3204,for all the work that is happening in params and they have done such an incredible job (the Param Parties is one of the coolest things we’ve done yet!),Oct-29-2021,🙏｜praise
karmaticacid#1218,iviangita#3204,for all the work that is happening in params and they have done such an incredible job (the Param Parties is one of the coolest things we’ve done yet!),Oct-29-2021,🙏｜praise
fabiomendes#4802,iviangita#3204,for all the work that is happening in params and they have done such an incredible job (the Param Parties is one of the coolest things we’ve done yet!),Oct-29-2021,🙏｜praise
Zeptimus#3359,iviangita#3204,for always being on it to record calls,Oct-29-2021,🙏｜praise
acidlazzer#5796,iviangita#3204,for always being on it to put out the graphics for all the Youtube videos and keeping our Youtube channel clean,Oct-29-2021,🙏｜praise
iviangita#3204,iviangita#3204,for doing all of these so much work that is happening all the time every week so people don’t miss these calls,Oct-29-2021,🙏｜praise
Zeptimus#3359,iviangita#3204,for hosting the Param Parties which are one of the most important things we’re doing right now,Oct-29-2021,🙏｜praise
divine_comedian#5493,iviangita#3204,for hosting the Param Parties which are one of the most important things we’re doing right now,Oct-29-2021,🙏｜praise
"griff (💜, 💜)#8888",iviangita#3204,for hosting the Param Parties which are one of the most important things we’re doing right now,Oct-29-2021,🙏｜praise
Nuggan#5183,iviangita#3204,for hosting the Param Parties which are one of the most important things we’re doing right now,Oct-29-2021,🙏｜praise
chuygarcia.eth#6692,iviangita#3204,for hosting the Param Parties which are one of the most important things we’re doing right now,Oct-29-2021,🙏｜praise
karmaticacid#1218,iviangita#3204,for hosting the Param Parties which are one of the most important things we’re doing right now,Oct-29-2021,🙏｜praise
natesuits#4789,iviangita#3204,for getting Boardroom up,Oct-29-2021,🙏｜praise
mateodaza#3156,iviangita#3204,for getting Boardroom up,Oct-29-2021,🙏｜praise
Vyvy-vi#5040,iviangita#3204,for getting Boardroom up,Oct-29-2021,🙏｜praise
liviade#1387,iviangita#3204,for always caring so much about our community and making sure we stay culture forward in this community,Oct-29-2021,🙏｜praise
ZER8🧠#9093,iviangita#3204,for integrating very well in the Comms team and learning about how Twitter process is going,Oct-29-2021,🙏｜praise
Juankbell#7458,iviangita#3204,for his commitment to Graviton Training and NVC Book Club,Oct-29-2021,🙏｜praise
chuygarcia.eth#6692,iviangita#3204,for always taking care that everything is well executed in Comms,Oct-29-2021,🙏｜praise
iviangita#3204,iviangita#3204,for always taking care that everything is well executed in Comms,Oct-29-2021,🙏｜praise
Ekeneodigwe#1502,iviangita#3204,for considering acidlazzer to help with some designs at Commons Stack,Oct-29-2021,🙏｜praise
pKrepe#5682,iviangita#3204,for the amazing work with the config dashboard (that is so much fun!),Oct-29-2021,🙏｜praise
divine_comedian#5493,iviangita#3204,for the amazing work with the config dashboard (that is so much fun!),Oct-29-2021,🙏｜praise
"griff (💜, 💜)#8888",iviangita#3204,for the amazing work with the config dashboard (that is so much fun!),Oct-29-2021,🙏｜praise
Mount Manu#3530,iviangita#3204,for the amazing work with the config dashboard (that is so much fun!),Oct-29-2021,🙏｜praise
Nuggan#5183,iviangita#3204,for the amazing work with the config dashboard (that is so much fun!),Oct-29-2021,🙏｜praise
Vitor Marthendal#0090,iviangita#3204,for the amazing work with the config dashboard (that is so much fun!),Oct-29-2021,🙏｜praise
karmaticacid#1218,iviangita#3204,for the amazing work with the config dashboard (that is so much fun!),Oct-29-2021,🙏｜praise
fabiomendes#4802,iviangita#3204,for the amazing work with the config dashboard (that is so much fun!),Oct-29-2021,🙏｜praise
Juankbell#7458,iviangita#3204,for backing up the recording of Community Calls and Gravity-related calls (he’s already thinking of buying a second monitor!),Oct-29-2021,🙏｜praise
chuygarcia.eth#6692,iviangita#3204,for keeping Twitter up-to-date even after David stepped out,Oct-29-2021,🙏｜praise
acidlazzer#5796,iviangita#3204,for keeping Twitter up-to-date even after David stepped out,Oct-29-2021,🙏｜praise
iviangita#3204,iviangita#3204,for keeping Twitter up-to-date even after David stepped out,Oct-29-2021,🙏｜praise
eduardovegap#0422,iviangita#3204,for the fun work session on Discord and forum analytics with Zep,Oct-29-2021,🙏｜praise
Vyvy-vi#5040,iviangita#3204,for all the work he’s doing behind the scenes,Oct-29-2021,🙏｜praise
divine_comedian#5493,iviangita#3204,for having deep souls that enrich our culture,Oct-29-2021,🙏｜praise
"griff (💜, 💜)#8888",iviangita#3204,for having deep souls that enrich our culture,Oct-29-2021,🙏｜praise
natesuits#4789,iviangita#3204,for having deep souls that enrich our culture,Oct-29-2021,🙏｜praise
liviade#1387,iviangita#3204,for having deep souls that enrich our culture,Oct-29-2021,🙏｜praise
Tam2140#9361,iviangita#3204,for having deep souls that enrich our culture,Oct-29-2021,🙏｜praise
mateodaza#3156,iviangita#3204,for helping with the Boardroom,Oct-29-2021,🙏｜praise
Vyvy-vi#5040,iviangita#3204,for helping with the Boardroom,Oct-29-2021,🙏｜praise
Tam2140#9361,iviangita#3204,for helping with the Boardroom,Oct-29-2021,🙏｜praise
divine_comedian#5493,iviangita#3204,for all the work in the parameters and Param Parties,Oct-29-2021,🙏｜praise
"griff (💜, 💜)#8888",iviangita#3204,for all the work in the parameters and Param Parties,Oct-29-2021,🙏｜praise
karmaticacid#1218,iviangita#3204,for all the work in the parameters and Param Parties,Oct-29-2021,🙏｜praise
Juankbell#7458,iviangita#3204,for all the Graviton Training sessions he’s been organizing the past weeks (it’s been huge success!),Oct-29-2021,🙏｜praise
eduardovegap#0422,iviangita#3204,for all the work he’s been doing toward onboarding and making sure everybody is oriented and giving people areas to participate in,Oct-29-2021,🙏｜praise
chuygarcia.eth#6692,iviangita#3204,for all the work he’s been doing with the Comms DAO and everything is shaping up really well over there,Oct-29-2021,🙏｜praise
ZER8🧠#9093,iviangita#3204,for helping David transition and staying part of TEC,Oct-29-2021,🙏｜praise
Mount Manu#3530,iviangita#3204,for helping David transition and staying part of TEC,Oct-29-2021,🙏｜praise
chuygarcia.eth#6692,iviangita#3204,for helping David transition and staying part of TEC,Oct-29-2021,🙏｜praise
acidlazzer#5796,iviangita#3204,for helping David transition and staying part of TEC,Oct-29-2021,🙏｜praise
iviangita#3204,iviangita#3204,for helping David transition and staying part of TEC,Oct-29-2021,🙏｜praise
iviangita#3204,iviangita#3204,for her meticulousness and ensuring that the publications look professional all the time,Oct-29-2021,🙏｜praise
durgadas#9280,iviangita#3204,for this week’s Graviton Training,Oct-29-2021,🙏｜praise
chuygarcia.eth#6692,iviangita#3204,for making a pitch of the TEC in Forefront DAO,Oct-29-2021,🙏｜praise
eduardovegap#0422,iviangita#3204,for making a pitch of the TEC in Forefront DAO,Oct-29-2021,🙏｜praise
Zeptimus#3359,iviangita#3204,because they always keep all the information really polished and accessible to the community and everyone in this space,Oct-29-2021,🙏｜praise
iviangita#3204,iviangita#3204,because they always keep all the information really polished and accessible to the community and everyone in this space,Oct-29-2021,🙏｜praise
Tam2140#9361,iviangita#3204,because Juanka feels her management with the stewards has been great,Oct-29-2021,🙏｜praise
divine_comedian#5493,iviangita#3204,for hosting Param Parties,Oct-29-2021,🙏｜praise
"griff (💜, 💜)#8888",iviangita#3204,for hosting Param Parties,Oct-29-2021,🙏｜praise
karmaticacid#1218,iviangita#3204,for hosting Param Parties,Oct-29-2021,🙏｜praise
Mount Manu#3530,iviangita#3204,for being the facilitator of Graviton Training next week,Oct-29-2021,🙏｜praise
natesuits#4789,iviangita#3204,for the awesome moments they are having in their lives,Oct-29-2021,🙏｜praise
David (please DYOR...)#4116,iviangita#3204,for the awesome moments they are having in their lives,Oct-29-2021,🙏｜praise
divine_comedian#5493,iviangita#3204,for hanging out in Param Parties,Oct-29-2021,🙏｜praise
"griff (💜, 💜)#8888",iviangita#3204,for hanging out in Param Parties,Oct-29-2021,🙏｜praise
natesuits#4789,iviangita#3204,for hanging out in Param Parties,Oct-29-2021,🙏｜praise
Vyvy-vi#5040,iviangita#3204,for hanging out in Param Parties,Oct-29-2021,🙏｜praise
Juankbell#7458,iviangita#3204,for hanging out in Param Parties,Oct-29-2021,🙏｜praise
Nuggan#5183,iviangita#3204,for hanging out in Param Parties,Oct-29-2021,🙏｜praise
karmaticacid#1218,iviangita#3204,for hanging out in Param Parties,Oct-29-2021,🙏｜praise
RodriCastillo#1415,iviangita#3204,for the mind-blowing flyers for the Param Parties,Oct-29-2021,🙏｜praise
Zeptimus#3359,iviangita#3204,for Comms contributions,Oct-29-2021,🙏｜praise
ZER8🧠#9093,iviangita#3204,for Comms contributions,Oct-29-2021,🙏｜praise
acidlazzer#5796,iviangita#3204,for Comms contributions,Oct-29-2021,🙏｜praise
iviangita#3204,iviangita#3204,for Comms contributions,Oct-29-2021,🙏｜praise
iviangita#3204,iviangita#3204,for her initiatives in Comms like triple praise because we don’t know what we would do without you,Oct-29-2021,🙏｜praise
durgadas#9280,iviangita#3204,for leading the Graviton Training this week,Oct-29-2021,🙏｜praise
UncleBimBim#1401,iviangita#3204,for being present in the Community Call,Oct-29-2021,🙏｜praise
divine_comedian#5493,iviangita#3204,for doing the AMA on the dashboard at Commons Stack,Oct-29-2021,🙏｜praise
"griff (💜, 💜)#8888",iviangita#3204,for doing the AMA on the dashboard at Commons Stack,Oct-29-2021,🙏｜praise
Vitor Marthendal#0090,iviangita#3204,for doing the AMA on the dashboard at Commons Stack,Oct-29-2021,🙏｜praise
markop#2007,iviangita#3204,for doing the AMA on the dashboard at Commons Stack,Oct-29-2021,🙏｜praise
ZER8🧠#9093,iviangita#3204,for making the tweets for the Param Parties,Oct-29-2021,🙏｜praise
chuygarcia.eth#6692,iviangita#3204,for making the tweets for the Param Parties,Oct-29-2021,🙏｜praise
acidlazzer#5796,iviangita#3204,for making the tweets for the Param Parties,Oct-29-2021,🙏｜praise
iviangita#3204,iviangita#3204,for making the tweets for the Param Parties,Oct-29-2021,🙏｜praise
RodriCastillo#1415,iviangita#3204,for making the graphics for the Param Parties,Oct-29-2021,🙏｜praise
Zeptimus#3359,iviangita#3204,for being so supportive and coming to Lauren’s Param Parties (it was such a great time),Oct-29-2021,🙏｜praise
divine_comedian#5493,iviangita#3204,for coming up with radical conviction voting parameters,Oct-29-2021,🙏｜praise
durgadas#9280,iviangita#3204,for the Graviton Training this week,Oct-29-2021,🙏｜praise
Juankbell#7458,iviangita#3204,for keeping the Graviton Training organized,Oct-29-2021,🙏｜praise
Zeptimus#3359,iviangita#3204,for the infinite contributions they brought and continue bringing as community stewards,Oct-29-2021,🙏｜praise
"griff (💜, 💜)#8888",iviangita#3204,for the infinite contributions they brought and continue bringing as community stewards,Oct-29-2021,🙏｜praise
solsista#5370,iviangita#3204,for the infinite contributions they brought and continue bringing as community stewards,Oct-29-2021,🙏｜praise
natesuits#4789,iviangita#3204,for the infinite contributions they brought and continue bringing as community stewards,Oct-29-2021,🙏｜praise
santigs#9769,iviangita#3204,for the infinite contributions they brought and continue bringing as community stewards,Oct-29-2021,🙏｜praise
AmwFund#0979,iviangita#3204,for the infinite contributions they brought and continue bringing as community stewards,Oct-29-2021,🙏｜praise
ygg_anderson#4998,iviangita#3204,for the infinite contributions they brought and continue bringing as community stewards,Oct-29-2021,🙏｜praise
JessicaZartler#2263,iviangita#3204,for the infinite contributions they brought and continue bringing as community stewards,Oct-29-2021,🙏｜praise
markop#2007,iviangita#3204,for the infinite contributions they brought and continue bringing as community stewards,Oct-29-2021,🙏｜praise
Juankbell#7458,iviangita#3204,for the infinite contributions they brought and continue bringing as community stewards,Oct-29-2021,🙏｜praise
chuygarcia.eth#6692,iviangita#3204,for the infinite contributions they brought and continue bringing as community stewards,Oct-29-2021,🙏｜praise
Suga#8514,iviangita#3204,for the infinite contributions they brought and continue bringing as community stewards,Oct-29-2021,🙏｜praise
iviangita#3204,iviangita#3204,for the infinite contributions they brought and continue bringing as community stewards,Oct-29-2021,🙏｜praise
Tam2140#9361,iviangita#3204,for the infinite contributions they brought and continue bringing as community stewards,Oct-29-2021,🙏｜praise
pKrepe#5682,iviangita#3204,for working on something that makes everyone in this community so proud,Oct-29-2021,🙏｜praise
divine_comedian#5493,iviangita#3204,for working on something that makes everyone in this community so proud,Oct-29-2021,🙏｜praise
"griff (💜, 💜)#8888",iviangita#3204,for working on something that makes everyone in this community so proud,Oct-29-2021,🙏｜praise
Mount Manu#3530,iviangita#3204,for working on something that makes everyone in this community so proud,Oct-29-2021,🙏｜praise
markop#2007,iviangita#3204,for working on something that makes everyone in this community so proud,Oct-29-2021,🙏｜praise
Nuggan#5183,iviangita#3204,for working on something that makes everyone in this community so proud,Oct-29-2021,🙏｜praise
Vitor Marthendal#0090,iviangita#3204,for working on something that makes everyone in this community so proud,Oct-29-2021,🙏｜praise
karmaticacid#1218,iviangita#3204,for working on something that makes everyone in this community so proud,Oct-29-2021,🙏｜praise
fabiomendes#4802,iviangita#3204,for working on something that makes everyone in this community so proud,Oct-29-2021,🙏｜praise
"griff (💜, 💜)#8888",iviangita#3204,for the quick guidance he gives Livia every time she needs it,Oct-29-2021,🙏｜praise
ygg_anderson#4998,iviangita#3204,"for his genuine, wise, and spontaneous ways to communicate and show things that always inspire Livia",Oct-29-2021,🙏｜praise
durgadas#9280,iviangita#3204,for his grounding knowledge and presence,Oct-29-2021,🙏｜praise
eduardovegap#0422,iviangita#3204,for carrying the onboarding flag with love and dedication,Oct-29-2021,🙏｜praise
Zeptimus#3359,iviangita#3204,for being a pillar of our community,Oct-29-2021,🙏｜praise
kristofer#1475,iviangita#3204,"for keeping the momentum of the rewards system and for being an example of organization, communication and simplicity",Oct-29-2021,🙏｜praise
divine_comedian#5493,iviangita#3204,for the dynamism he holds to all the working groups he’s involved by bringing tasks to the finished line on a steady pace,Oct-29-2021,🙏｜praise
natesuits#4789,iviangita#3204,for bringing Boardroom up,Oct-29-2021,🙏｜praise
heater#9765,iviangita#3204,for being a hero in the rewards system research group and organizing and digesting a lot of information,Oct-29-2021,🙏｜praise
akrtws (TE Academy)#4246,iviangita#3204,for the success of Token Engineering Academy,Oct-29-2021,🙏｜praise
solsista#5370,iviangita#3204,for being our ethics guardian,Oct-29-2021,🙏｜praise
UncleBimBim#1401,iviangita#3204,for responding the to new member call today,Oct-29-2021,🙏｜praise
r33pich33p#6906,iviangita#3204,for being productive and engaging with Eduardo and going to Forefront DAO to shadow Chuy,Oct-29-2021,🙏｜praise
chuygarcia.eth#6692,iviangita#3204,for going to Forefront call and presenting TEC,Oct-29-2021,🙏｜praise
GideonRo#3175,iviangita#3204,for the onboarding journey process,Oct-29-2021,🙏｜praise
LBS#6541,iviangita#3204,for the onboarding journey process,Oct-29-2021,🙏｜praise
MS#4235,iviangita#3204,for the onboarding journey process,Oct-29-2021,🙏｜praise
ALOYSIOUS#3049,iviangita#3204,for keeping themselves always present and for their contributions,Oct-29-2021,🙏｜praise
rdfbbx#6437,kristofer#1475,"for taking such a big responsibility over the praise backend development, always delivering 100% quality",Oct-29-2021,🙏｜praise
MS#4235,kristofer#1475,for engaging in so many parts of the community,Oct-29-2021,🙏｜praise
Vyvy-vi#5040,kristofer#1475,for doing work with the SourceCred bots despite having soo much on his plate,Oct-29-2021,🙏｜praise
graial#0787,kristofer#1475,"for delivering value right after first contact, identifying praise frontend issues that needs fixing",Oct-29-2021,🙏｜praise
liviade#1387,kristofer#1475,for getting involved in the Rewards Committee work,Oct-29-2021,🙏｜praise
divine_comedian#5493,kristofer#1475,for being a master teacher during the param parties,Oct-29-2021,🙏｜praise
"griff (💜, 💜)#8888",kristofer#1475,for showing up again and again and again fuelling the whole community with great energy,Oct-29-2021,🙏｜praise
Tam2140#9361,kristofer#1475,"for always finding the signal in the noise, helping us stay grounded and focused",Oct-29-2021,🙏｜praise
anson parker#4296,kristofer#1475,for engaging in the Rewards System discussion the last week,Oct-29-2021,🙏｜praise
ALOYSIOUS#3049,kristofer#1475,for engaging in the Rewards System discussion the last week,Oct-29-2021,🙏｜praise
chuygarcia.eth#6692,kristofer#1475,for engaging in the Rewards System discussion the last week,Oct-29-2021,🙏｜praise
trangnv#2156,kristofer#1475,for engaging in the Rewards System discussion the last week,Oct-29-2021,🙏｜praise
Nuggan#5183,kristofer#1475,for testing the praise backend,Oct-29-2021,🙏｜praise
markop#2007,Zeptimus#3359,for the super fun proposal!! 48 lets goo!,Oct-29-2021,🙏｜praise
Zeptimus#3359,markop#2007,for doing an awesome Param Party!,Oct-29-2021,🙏｜praise
Zeptimus#3359,iviangita#3204,for joining TEC Community Call 55 https://youtu.be/Xv_sgIP5bh0,Oct-29-2021,🙏｜praise
durgadas#9280,iviangita#3204,for joining TEC Community Call 55 https://youtu.be/Xv_sgIP5bh0,Oct-29-2021,🙏｜praise
natesuits#4789,iviangita#3204,for joining TEC Community Call 55 https://youtu.be/Xv_sgIP5bh0,Oct-29-2021,🙏｜praise
bfa#7705,iviangita#3204,for joining TEC Community Call 55 https://youtu.be/Xv_sgIP5bh0,Oct-29-2021,🙏｜praise
"griff (💜, 💜)#8888",iviangita#3204,for joining TEC Community Call 55 https://youtu.be/Xv_sgIP5bh0,Oct-29-2021,🙏｜praise
UncleBimBim#1401,iviangita#3204,for joining TEC Community Call 55 https://youtu.be/Xv_sgIP5bh0,Oct-29-2021,🙏｜praise
Yineisy Mota#1449,iviangita#3204,for joining TEC Community Call 55 https://youtu.be/Xv_sgIP5bh0,Oct-29-2021,🙏｜praise
eduardovegap#0422,iviangita#3204,for joining TEC Community Call 55 https://youtu.be/Xv_sgIP5bh0,Oct-29-2021,🙏｜praise
liviade#1387,iviangita#3204,for joining TEC Community Call 55 https://youtu.be/Xv_sgIP5bh0,Oct-29-2021,🙏｜praise
Juankbell#7458,iviangita#3204,for joining TEC Community Call 55 https://youtu.be/Xv_sgIP5bh0,Oct-29-2021,🙏｜praise
chuygarcia.eth#6692,iviangita#3204,for joining TEC Community Call 55 https://youtu.be/Xv_sgIP5bh0,Oct-29-2021,🙏｜praise
xm3van#0929,iviangita#3204,for joining TEC Community Call 55 https://youtu.be/Xv_sgIP5bh0,Oct-29-2021,🙏｜praise
karmaticacid#1218,iviangita#3204,for joining TEC Community Call 55 https://youtu.be/Xv_sgIP5bh0,Oct-29-2021,🙏｜praise
acidlazzer#5796,iviangita#3204,for joining TEC Community Call 55 https://youtu.be/Xv_sgIP5bh0,Oct-29-2021,🙏｜praise
nic#9212,iviangita#3204,for joining TEC Community Call 55 https://youtu.be/Xv_sgIP5bh0,Oct-29-2021,🙏｜praise
David (please DYOR...)#4116,iviangita#3204,for joining TEC Community Call 55 https://youtu.be/Xv_sgIP5bh0,Oct-29-2021,🙏｜praise
Tam2140#9361,iviangita#3204,for joining TEC Community Call 55 https://youtu.be/Xv_sgIP5bh0,Oct-29-2021,🙏｜praise
natesuits#4789,karmaticacid#1218,for coming up with radical conviction voting params,Oct-29-2021,🙏｜praise
"griff (💜, 💜)#8888",iviangita#3204,for attending the Legal WG bi-weekly sync,Oct-29-2021,🙏｜praise
anson parker#4296,iviangita#3204,for attending the Legal WG bi-weekly sync,Oct-29-2021,🙏｜praise
Caeser (PST)#0046,iviangita#3204,for attending the Legal WG bi-weekly sync,Oct-29-2021,🙏｜praise
DecentralizeSDGs#7544,iviangita#3204,for attending the Legal WG bi-weekly sync,Oct-29-2021,🙏｜praise
iviangita#3204,iviangita#3204,for attending the Legal WG bi-weekly sync,Oct-29-2021,🙏｜praise
Caeser (PST)#0046,iviangita#3204,for all his effort in pushing legal forward and leading the discussion around the legal documents our community needs,Oct-29-2021,🙏｜praise
akrtws (TE Academy)#4246,heater#9765,"for keeping projects, companies, and really smart people excited about supporting education for TEs!",Oct-29-2021,🙏｜praise
Zeptimus#3359,karmaticacid#1218,for jumping into the params party today!,Oct-29-2021,🙏｜praise
r33pich33p#6906,karmaticacid#1218,for jumping into the params party today!,Oct-29-2021,🙏｜praise
"griff (💜, 💜)#8888",karmaticacid#1218,for jumping into the params party today!,Oct-29-2021,🙏｜praise
anson parker#4296,karmaticacid#1218,for jumping into the params party today!,Oct-29-2021,🙏｜praise
AmwFund#0979,karmaticacid#1218,for jumping into the params party today!,Oct-29-2021,🙏｜praise
Juankbell#7458,karmaticacid#1218,for jumping into the params party today!,Oct-29-2021,🙏｜praise
DecentralizeSDGs#7544,karmaticacid#1218,for jumping into the params party today!,Oct-29-2021,🙏｜praise
karmaticacid#1218,karmaticacid#1218,for jumping into the params party today!,Oct-29-2021,🙏｜praise
GideonRo#3175,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,Oct-29-2021,🙏｜praise
Yonks#7762,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,Oct-29-2021,🙏｜praise
ZER8🧠#9093,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,Oct-29-2021,🙏｜praise
anna-marie#8824,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,Oct-29-2021,🙏｜praise
innov8tor3#3988,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,Oct-29-2021,🙏｜praise
KZ Flyer#0926,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,Oct-29-2021,🙏｜praise
David (please DYOR...)#4116,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,Oct-29-2021,🙏｜praise
Zeptimus#3359,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,Oct-29-2021,🙏｜praise
